category_id,category_name,category_type,,,
1,Fruit,Produce,,,
2,Cereals-and-Pulses,Produce,,,
3,Seeds,Produce,,,
4,Spices,Produce,,,
5,Vegetable,Produce,,,
6,Dry-Fruit-and-Nuts,Produce,,,
7,Edible-Oil,Produce,,,
8,Fertilizers,SellingProduct,,,
9,Fodders,SellingProduct,,,           
11,Herbal-Products,Produce,,,
12,Machinery-and-Equipments,SellingProduct,,,
14,Other-Agro-Products,Produce,,,
15,Beverages,Produce,,,
19,Compost,SellingProduct,,,
20,Biofertilizers,SellingProduct,,,
21,Chemical-Fertilizer,SellingProduct,,,
23,Urea-Fertilizer,SellingProduct,,,
24,Organic-Fertilizers,SellingProduct,,,
25,Organic-Manure,SellingProduct,,,
26,Seeds,SellingProduct,,,
